n, n * root(n), n * n, n * log(n) 
2500,0.4176,0.008352,2.66869596255286
2750,0.41376809236570533,0.007890247933884298,2.7398921447390787
3000,0.5914186459816894,0.010797777777777778,4.045946312060253
3250,0.42001633884598777,0.007367573964497042,2.9610933120329013
3500,0.5046778263950285,0.00853061224489796,3.6587312167792763
3750,0.4245346755981014,0.006932622222222222,3.15903739086322
4000,0.45279863246535984,0.007159375,3.4527765377164683
4250,0.4452728031722358,0.006830173010380623,3.474490373183259
4500,0.35929471531796625,0.00535604938271605,2.8652759929094955
4750,0.3503668458426035,0.005083656509695291,2.852309703015475
5000,0.3456620789152319,0.0048884,2.8697247380314246
5250,0.34916002892133896,0.004818866213151927,2.9534317974772537
5500,0.3224391487678749,0.004347768595041322,2.7765129651657094
5750,0.4009262627976261,0.005287258979206049,3.5118281960091497
6000,0.389471508609447,0.005028055555555556,3.4678179423214455
6250,0.32950427254528886,0.004167936,2.9803886013506395
6500,0.04715228141075909,5.848520710059171E-4,0.4329988704602433
6750,0.03494605157020615,4.253497942386831E-4,0.3256225639066561
7000,0.03244191939621925,3.877551020408163E-4,0.30657197703566
7250,0.03168559308608993,3.72128418549346E-4,0.30352175349333516
7500,0.0310075584572775,3.580444444444444E-4,0.30095664802903727
7750,0.030428097236049202,3.4563995837669096E-4,0.2991150907049433
8000,0.05168112112996389,5.778125E-4,0.5143428025713939
8250,0.03866184392663733,4.2565289256198347E-4,0.3894043732450217
8500,0.03870166973636484,4.197785467128028E-4,0.3943620759696859
8750,0.028944850661244553,3.094334693877551E-4,0.29829236941111126
9000,0.02799201336223121,2.950617283950617E-4,0.29165968486055965
9250,0.03614959540823085,3.758655953250548E-4,0.38070658491988335
9500,0.03683694274870792,3.7793905817174513E-4,0.3920081447574408
9750,0.03677022932796082,3.723865877712032E-4,0.3952923583446556
10000,0.02958,2.958E-4,0.3211607693674547
10250,0.033014259493868235,3.2609161213563356E-4,0.361930382920784
10500,0.035429819791236265,3.457596371882086E-4,0.39209687953999656
10750,0.025946906822638734,2.5025419145484047E-4,0.28981264622446484
11000,0.025578800916943114,2.4388429752066117E-4,0.28829013703012624
11250,0.029180987402566617,2.7512098765432097E-4,0.33180426285726383
11500,0.030107742199967695,2.8075614366729676E-4,0.3453112643717527
11750,0.031059859225210807,2.8653689452240834E-4,0.3592562049094161
12000,0.028930401197113147,2.640972222222222E-4,0.33740878684873876
12250,0.02491469139603215,2.2510620574760516E-4,0.2929425943133441
12500,0.023734519940373767,2.12288E-4,0.28129586286234176
12750,0.034674427518558086,3.070818915801615E-4,0.41417279553470393
13000,0.02896315443757751,2.540236686390533E-4,0.34861296947895487
13250,0.02353150157398726,2.0442862228551087E-4,0.28537186896799943
13500,0.022887259609686628,1.9698216735253773E-4,0.2796145994436773
13750,0.022389951594000104,1.9094214876033057E-4,0.2755285209281479
14000,0.022523360888514966,1.9035714285714286E-4,0.27915076049571047
14250,0.025242928873046182,2.1146198830409357E-4,0.3150535306797568
14500,0.021958370328223384,1.8235434007134364E-4,0.2759512045612435
14750,0.025946458540111794,2.136397586900316E-4,0.32828283972095323
15000,0.025403930287931316,2.0742222222222223E-4,0.3235645042713615
15250,0.02885989740670432,2.3370061811341038E-4,0.3699969433035381
15500,0.023728653593835757,1.9059313215400624E-4,0.3061786151914706
15750,0.02087918929406579,1.6636936255983874E-4,0.27112541039162946
16000,0.022486758799103584,1.777734375E-4,0.2938299506340853
16250,0.02051193743266816,1.6090887573964497E-4,0.2696792668505965
16500,0.020406108687870222,1.5886134067952248E-4,0.2699187418845108
